nct_number,min_age,max_age,gender,bmi_min,bmi_max,hba1c_min,hba1c_max,pregnant_allowed
NCT07290231,30.0,55.0,All,40.0,,,,False
NCT02326129,12.0,21.0,All,,,5.7,6.4,False
NCT06864546,40.0,70.0,All,,,,,False
NCT01713764,18.0,,All,,,,,False
NCT01121315,,,All,,,,,True
NCT05767372,60.0,70.0,All,,,,,True
NCT05980754,40.0,65.0,All,,24.0,6.5,6.4,False
NCT04790526,45.0,65.0,All,,,,,True
NCT04011904,18.0,80.0,All,18.5,,6.0,,True
NCT07084350,18.0,,All,,,,,False
NCT03194152,20.0,65.0,All,,,,,False
NCT02446054,30.0,60.0,All,,,7.0,,False
NCT07282743,18.0,,All,27.0,,7.0,10.5,False
NCT06387550,40.0,80.0,All,,,6.4,,True
NCT04665284,18.0,75.0,All,,45.0,,,False
NCT01868646,18.0,65.0,All,,,,,False
NCT05252728,5.0,70.0,All,,,,,False
NCT06570057,20.0,,All,,,,,True
NCT00726505,18.0,65.0,All,18.0,35.0,,,True
NCT02879383,28.0,75.0,All,,,,,True
NCT06869018,18.0,70.0,All,,,,,True
NCT07047248,30.0,70.0,All,,,,,False
NCT00960791,35.0,65.0,Male,,,,,True
NCT02805361,18.0,,All,,,,,True
NCT02091193,18.0,,All,,,,,False
NCT06498284,18.0,65.0,All,,,,,False
NCT01252524,18.0,,All,,,,,False
NCT06645418,65.0,85.0,All,,,,,True
NCT01020123,18.0,,All,,,7.5,,False
NCT03258840,35.0,50.0,All,,30.0,,,False
NCT06851858,18.0,75.0,All,27.0,,,,True
NCT03084965,,99.0,All,,,,,True
NCT05028140,18.0,85.0,All,,,,,False
NCT03059719,18.0,75.0,All,,,,,False
NCT00825383,35.0,80.0,All,,,,,False
NCT06671587,18.0,,All,,,,,True
NCT02749435,18.0,,All,,,,,False
NCT00995787,30.0,75.0,All,,,,,False
NCT05743387,18.0,,All,,,,,False
NCT06652971,19.0,55.0,All,,,,,False
NCT06386328,19.0,,All,,,,,False
NCT03907202,18.0,64.0,All,,,7.0,,False
NCT03047486,18.0,,All,,,,,True
NCT01261494,18.0,75.0,All,,,7.0,,True
NCT00554697,35.0,65.0,All,,30.0,,,False
NCT05364476,20.0,70.0,All,,,,,False
NCT05719155,19.0,50.0,All,,,,,False
NCT06912737,18.0,,All,,,,,True
NCT00306176,40.0,75.0,All,,,,,True
NCT05544214,19.0,45.0,All,,,,,False
NCT01514838,20.0,,All,,,,,True
NCT02144948,45.0,80.0,All,,,7.0,,True
NCT01523405,18.0,,All,,,,,True
NCT01972724,18.0,80.0,All,,,,,False
NCT05452525,19.0,50.0,All,,,,,False
NCT05274880,19.0,54.0,All,,,,,False
NCT01969084,30.0,70.0,All,,,,10.0,False
NCT01262586,18.0,70.0,All,,,,,True
NCT03478202,18.0,69.0,All,,,,,False
NCT00481663,21.0,70.0,All,,,6.5,,False
NCT02492763,21.0,65.0,All,,,,,False
NCT00863954,21.0,80.0,All,,,,,False
NCT00131287,20.0,75.0,All,,,,,False
NCT07029009,10.0,,All,,18.5,10.0,,False
NCT01076829,35.0,70.0,Male,,,,,True
NCT00309751,18.0,75.0,All,,,,,True
NCT02761018,18.0,,All,,,,,False
NCT02592421,18.0,70.0,All,,,,10.0,True
NCT02036372,18.0,75.0,All,,,,,False
NCT01505426,20.0,,All,,,,,True
NCT02274740,18.0,70.0,All,,,,,True
NCT03616392,19.0,,All,,,,,False
NCT01566981,18.0,75.0,All,,,,,True
NCT00086515,18.0,78.0,All,,,,,True
NCT02156349,18.0,,All,,,7.5,,False
NCT00344370,,,All,,,,,True
NCT07195188,18.0,65.0,All,,,,,True
NCT06542874,18.0,75.0,All,,,,,True
NCT02012478,18.0,90.0,All,,,8.0,,False
NCT02175121,18.0,70.0,All,,,,,False
NCT01648244,,,All,,,,,True
NCT01952535,18.0,45.0,All,,,,,True
NCT02184455,18.0,,All,,,7.0,,False
NCT04843592,20.0,60.0,All,,,,,True
NCT00952445,30.0,75.0,All,42.0,,,,True
NCT01196728,18.0,75.0,All,22.0,,,,True
NCT03112382,20.0,64.0,All,,40.0,,,False
NCT00997152,18.0,70.0,All,,,,,False
NCT01165190,18.0,65.0,All,,,,,False
NCT05662332,18.0,,All,,,7.0,10.0,True
NCT00929539,18.0,70.0,All,,,,,False
NCT00970424,18.0,85.0,All,20.0,48.0,7.0,10.0,True
NCT03829514,18.0,70.0,All,,,,,False
NCT06224803,20.0,,All,,,6.5,,False
NCT00947557,18.0,85.0,All,20.0,48.0,7.0,10.0,True
NCT01552005,18.0,,All,,,,,True
NCT00577590,18.0,70.0,All,,,,,True
NCT06245252,60.0,75.0,All,,,,,True
NCT00162175,18.0,70.0,All,,,7.0,,True
NCT04632862,19.0,80.0,All,,,,10.0,True
NCT01194258,18.0,,All,,,,,True
NCT04654390,19.0,80.0,All,,,,11.0,True
NCT04270656,37.0,70.0,All,,,6.5,,True
NCT05268237,18.0,65.0,All,,,6.5,,False
NCT00081328,10.0,17.0,All,85.0,,,8.0,False
NCT00660790,45.0,75.0,All,,,7.5,,True
NCT07149311,18.0,,All,,,7.9,,True
NCT04218305,45.0,60.0,All,,,,,True
NCT01654120,18.0,80.0,All,,,,,False
NCT01596244,18.0,,All,,,,,False
NCT06415773,18.0,75.0,All,,,7.5,,True
NCT02985242,18.0,80.0,All,,,6.5,,False
NCT03012074,18.0,,All,,,,,True
NCT06350890,18.0,75.0,All,,,7.5,,True
NCT00563225,40.0,80.0,All,,40.0,,,True
NCT02824874,19.0,,Male,,,,,True
NCT00151697,30.0,75.0,All,25.0,35.0,,,False
NCT02685774,19.0,,Male,,,,,True
NCT00482079,21.0,70.0,All,,,,,False
NCT01088711,45.0,65.0,All,,,,,False
NCT02648854,19.0,,Male,,,,,True
NCT02627027,19.0,,Male,,,,,True
NCT02565368,19.0,,Male,,,,,True
NCT01582282,36.0,80.0,All,,,6.0,10.0,True
NCT07186686,18.0,65.0,All,,,10.0,,False
NCT02028091,18.0,,All,,,,,True
NCT07244003,18.0,75.0,All,,,7.5,,False
NCT03467932,18.0,,All,,,,,False
NCT02957721,18.0,75.0,All,,,,,True
NCT02471794,18.0,,All,,,,,True
NCT05376930,19.0,80.0,All,,,,,False
NCT03155087,18.0,80.0,All,,,,,True
NCT04754334,18.0,75.0,All,,,,,False
NCT05376969,19.0,80.0,All,,,,,False
NCT07188935,18.0,75.0,All,,,,,False
NCT05325710,18.0,75.0,All,,,,,False
NCT07107620,50.0,,All,,,,,True
NCT01728740,18.0,45.0,Male,,,,,True
NCT04893135,18.0,70.0,All,35.0,,,,False
NCT00231387,30.0,75.0,All,,,,10.0,True
NCT06254274,18.0,70.0,All,20.0,,,,True
NCT04634500,19.0,80.0,All,,,,10.5,True
NCT01301092,18.0,,All,,,,,False
NCT05455242,19.0,,All,,,,,True
NCT01247896,18.0,55.0,All,,,,,False
NCT02637609,18.0,,All,,,,,True
NCT07271043,18.0,75.0,All,,,,,False
NCT05586594,12.0,45.0,All,,,,,True
NCT01386801,18.0,,All,,,,,False
NCT01025999,18.0,,All,,,8.5,,True
NCT03727854,19.0,79.0,All,,,6.5,6.5,False
NCT00649909,,,All,,,8.0,,True
NCT02637622,18.0,,All,,,,,True
NCT06727409,18.0,,All,,,9.0,,False
NCT05983289,18.0,60.0,All,18.0,25.0,,,True
NCT07164495,18.0,,All,,,,,True
NCT06055582,25.0,60.0,All,,,,,True
NCT04120844,18.0,75.0,All,,,7.0,10.0,True
NCT06387433,18.0,,All,,,,,False
NCT04007133,18.0,,All,,,,,True
NCT07093476,19.0,,All,,,,,True
NCT06676683,18.0,,All,,,,,True
NCT06512090,18.0,,All,,,,,True
NCT06642467,18.0,59.0,All,,,,,False
NCT07198516,18.0,70.0,All,24.0,,,10.0,False
NCT01610934,18.0,,All,,,,7.0,False
NCT00528918,,,All,,,,,False
NCT06188572,48.0,78.0,All,,,,,True
NCT04970940,19.0,,All,,,,,True
NCT00701090,18.0,,All,,,,,False
NCT06117449,18.0,,All,,,,,False
NCT05776420,19.0,,All,,,11.0,,True
NCT01782092,30.0,60.0,All,,,,,False
NCT00985114,18.0,65.0,All,30.0,,,,True
NCT00889785,12.0,19.0,All,,,,,True
NCT01735253,20.0,65.0,All,23.0,34.0,7.0,,True
NCT04768673,19.0,55.0,All,,,,,True
NCT05904847,40.0,80.0,All,,,,,True
NCT05605821,18.0,,All,,,,,True
NCT05359341,20.0,70.0,All,,,10.5,,False
NCT04653545,30.0,,All,,,,,True
NCT06385626,18.0,65.0,All,,,,,False
NCT01980459,20.0,70.0,All,,,,,False
NCT00318656,40.0,80.0,All,,,,9.0,False
NCT05881213,19.0,55.0,All,,,,,False
NCT01384045,18.0,,All,,,,,True
NCT03596177,30.0,75.0,All,,,,,False
NCT05741437,19.0,55.0,All,,,,,False
NCT04639492,20.0,70.0,All,,,,,False
NCT00359112,18.0,75.0,All,,,,,True
NCT02556840,18.0,,Female,,30.0,,,False
NCT05176210,18.0,80.0,All,,,,,False
NCT00269061,18.0,70.0,All,,,,,True
NCT00156897,18.0,65.0,All,,,,,True
NCT01207934,25.0,75.0,All,,,7.5,12.0,False
NCT01927562,28.0,75.0,All,24.0,,7.5,,True
NCT04540016,18.0,45.0,Male,,,,,True
NCT00856908,30.0,75.0,All,,,,11.0,True
NCT01373814,35.0,65.0,All,,,,,False
NCT04499846,18.0,,All,,,,,True
NCT06846411,20.0,,All,,,,,True
NCT01698528,18.0,,All,,,9.0,14.0,False
NCT07112625,,,All,,,,,True
NCT03498001,50.0,,All,30.0,,7.0,,False
NCT06561126,20.0,,All,,,,,True
NCT07229534,19.0,,All,,,,10.5,True
NCT02984644,18.0,70.0,All,,,,8.0,True
NCT00819884,30.0,75.0,All,,,,,True
NCT01330251,18.0,65.0,All,,,,,True
NCT01619332,18.0,65.0,All,,,6.5,9.5,True
NCT02429258,18.0,75.0,All,,,,,True
NCT07204782,40.0,,All,,,,,False
NCT02084251,18.0,45.0,All,19.0,,,,False
NCT02015910,18.0,80.0,All,,,,,True
NCT05789706,18.0,,All,,,,,True
NCT06542939,21.0,,All,,,,,False
NCT05711602,60.0,,All,,,,,True
NCT04602754,18.0,85.0,All,,,7.0,,False
NCT01206725,20.0,60.0,All,35.0,,,,True
NCT06377657,25.0,40.0,Male,,,,,True
NCT01342939,18.0,,All,19.0,,,,False
NCT00882882,19.0,49.0,All,,,,,True
NCT06897618,18.0,64.0,Male,,,,,True
NCT01644201,18.0,75.0,All,30.0,,,7.0,False
NCT03784703,35.0,70.0,All,,,,,True
NCT07149610,18.0,,All,,,7.0,,False
NCT06837428,40.0,79.0,All,,,,,False
NCT06301191,18.0,80.0,All,,,,,True
NCT04830969,25.0,,All,,,,,False
NCT07229482,50.0,70.0,All,,,,,False
NCT02496000,20.0,75.0,All,,,7.5,,False
NCT06006468,,,All,,,,,True
NCT05899023,20.0,70.0,All,,,,,True
NCT00887302,18.0,60.0,Female,,,,,False
NCT00561171,18.0,75.0,All,,,,,True
NCT00703482,40.0,79.0,All,,,,9.0,False
NCT06030544,18.0,75.0,All,,,,,False
NCT06319300,18.0,,All,45.0,,,,False
NCT03437109,45.0,60.0,Male,,,,,True
NCT01652729,18.0,,All,,,7.1,11.0,True
NCT05107063,18.0,,All,,,,,False
NCT01066039,20.0,80.0,All,40.0,,9.0,,False
NCT02726217,18.0,,All,,,,7.0,False
NCT04233229,18.0,,All,,,,12.0,False
NCT04289818,30.0,60.0,All,,,7.5,,True
NCT06471699,18.0,,All,,,,,False
NCT06340854,18.0,,All,,,,,True
NCT06476990,18.0,,All,,,7.0,,True
NCT02759289,18.0,,All,,,,,False
NCT06401668,18.0,,All,,,,,False
NCT07247656,40.0,70.0,All,25.0,25.0,,,False
NCT06296550,18.0,,All,,,,,False
NCT05894811,16.0,65.0,All,28.0,,6.4,5.6,False
NCT02529982,40.0,65.0,All,,,,,True
NCT01336738,18.0,70.0,All,,,,,True
NCT06005519,18.0,65.0,All,,,,,True
NCT06354660,18.0,,All,,,7.0,,True
NCT05689684,50.0,80.0,All,,,60.0,,True
NCT05442840,18.0,,All,,,,,False
NCT06293417,19.0,,All,,,,,False
NCT05394844,18.0,60.0,All,,,,,False
NCT05378620,18.0,,All,,,7.5,,False
NCT05266742,18.0,65.0,Female,,,,,True
NCT02586129,19.0,75.0,All,,45.0,,,False
NCT05416060,18.0,,All,,,,,False
NCT00637546,,,All,,,,,True
NCT04946188,18.0,70.0,All,,,,,False
NCT00547274,21.0,,All,,,,,False
NCT02041234,21.0,65.0,All,,,8.0,,False
NCT02947620,19.0,80.0,All,,,,,False
NCT01845064,18.0,75.0,All,,,,,False
NCT01472328,30.0,70.0,All,20.0,25.0,,,True
NCT02935712,18.0,65.0,Male,,,,,True
NCT06267391,22.0,70.0,All,,,,,False
NCT03714451,30.0,65.0,All,18.5,,,,False
NCT01193179,20.0,,All,,,,,False
NCT05072990,18.0,80.0,All,,,,,True
NCT01359904,18.0,95.0,All,,,,,True
NCT04910178,18.0,,All,,,,,False
NCT05577390,45.0,85.0,All,,,,,False
NCT00640549,35.0,75.0,All,,,8.0,,True
NCT03179254,18.0,80.0,All,,,,,True
NCT02093234,21.0,75.0,All,,,,,False
NCT07265245,,,All,,,,,False
NCT04887077,18.0,65.0,All,30.0,,,,False
NCT00881543,40.0,70.0,All,,,,,False
NCT01617603,45.0,75.0,All,,,,,False
NCT00539890,18.0,80.0,All,,,7.0,,False
NCT02809963,18.0,85.0,All,,,,,False
NCT05399134,21.0,70.0,All,,,,,False
NCT04076384,20.0,80.0,All,,,48.0,,True
NCT06904690,60.0,,All,,,,,True
NCT03550378,18.0,84.0,All,,,,,False
NCT01076842,18.0,90.0,All,,40.0,,,False
NCT02569684,18.0,,All,,,,,False
NCT05656924,18.0,70.0,All,,,,,False
NCT02648685,18.0,75.0,All,18.5,,,,False
NCT04971252,18.0,75.0,All,,,,,True
NCT00714441,21.0,75.0,All,,,,,True
NCT02559843,40.0,65.0,All,,,,,True
NCT05752929,18.0,,All,,,,,False
NCT03380416,35.0,75.0,All,,,,7.5,True
NCT05276128,20.0,40.0,All,,,,,True
NCT01634282,20.0,74.0,All,,,,,False
NCT00349427,18.0,70.0,All,,,,,False
NCT00044447,18.0,80.0,All,,,7.5,,False
NCT02107976,18.0,65.0,All,,,,,False
NCT01889095,25.0,65.0,All,,,,,False
NCT01953393,20.0,35.0,Male,25.0,,,,True
NCT04448262,18.0,85.0,All,,,,9.0,True
NCT01799850,18.0,55.0,All,,,,,True
NCT01624116,,,All,,,,,False
NCT06871761,18.0,75.0,All,,,,,False
NCT06283992,18.0,,All,,,,,True
NCT01608724,18.0,99.0,All,,,7.5,,False
NCT05706506,18.0,,All,,,,,True
NCT00259896,18.0,66.0,All,,,,,True
NCT01728714,18.0,,All,,,,8.0,True
NCT06329882,40.0,60.0,All,,,,,False
NCT05336019,18.0,65.0,All,,,,,False
NCT00997282,20.0,74.0,All,,,,,False
NCT01046422,18.0,75.0,All,,,7.0,,True
NCT07193459,18.0,75.0,All,,,7.5,,False
NCT00857558,20.0,75.0,All,,,,,False
NCT01427660,21.0,,All,,,,,False
NCT01704612,50.0,80.0,All,,,,,True
NCT01165983,21.0,80.0,All,,,,,False
NCT00934414,20.0,65.0,All,,,,,False
NCT00940472,40.0,60.0,All,,,7.0,9.0,False
NCT05360147,18.0,65.0,All,,,,,True
NCT06475586,18.0,70.0,All,,,,,True
NCT00376038,30.0,64.0,All,,,,,False
NCT00940797,40.0,60.0,All,,,,,False
NCT04449120,18.0,70.0,All,25.0,40.0,,,False
NCT02722499,21.0,100.0,All,,,8.0,,True
NCT04670666,18.0,,All,,,7.0,,False
NCT04115657,21.0,40.0,Male,,,,,True
NCT03081676,18.0,,All,,,,,False
NCT01040806,18.0,,All,,,,,True
NCT05708859,40.0,80.0,All,,,7.0,,True
NCT05015504,18.0,65.0,All,,,,,False
NCT02537470,18.0,80.0,All,,,7.0,10.5,True
NCT00518427,18.0,,All,,,7.0,,True
NCT00035542,9.0,16.0,All,,,,,True
NCT00464880,30.0,80.0,All,,,,,True
NCT00461136,30.0,80.0,All,,,,,False
NCT06445335,18.0,,All,,,,,True
NCT00044694,18.0,65.0,All,,,,,True
NCT00246987,18.0,70.0,All,,,7.0,,True
NCT00309244,18.0,80.0,All,,40.0,7.0,,False
NCT05127291,18.0,65.0,All,,,,,True
NCT00898950,18.0,70.0,All,,,,,True
NCT05359432,30.0,65.0,All,,,,,False
NCT00141232,18.0,,All,,,,,True
NCT03551925,18.0,,All,,,,,True
NCT06481085,18.0,75.0,All,,,7.5,,False
NCT05888454,18.0,80.0,All,,,,,False
NCT07042399,18.0,,All,,,,,False
NCT07070830,18.0,75.0,All,,,,,False
NCT06658743,12.0,18.0,All,,,,,True
NCT03912363,14.0,50.0,Female,,,,,False
NCT06731075,50.0,,All,,,,,False
NCT05926414,19.0,,All,,,,,False
NCT06784375,18.0,,All,,25.0,,,False
NCT00411554,20.0,,All,,,,,True
NCT06148649,18.0,75.0,All,,,,,True
NCT02158741,65.0,,All,,,,,True
NCT02961192,18.0,70.0,All,,,,,False
NCT07082114,18.0,75.0,All,,,7.5,,False
NCT02923453,45.0,75.0,All,,,6.5,8.5,True
NCT07073170,18.0,65.0,All,,,,,True
NCT03707171,18.0,80.0,All,,,,,True
NCT01906294,18.0,,All,,,,,True
NCT04930679,18.0,65.0,All,,,,,False
NCT00291356,30.0,70.0,All,,,,,False
NCT05048719,18.0,75.0,All,,,,,True
NCT07276776,18.0,75.0,All,,,,,False
NCT06256549,18.0,75.0,All,,,,,False
NCT05874141,18.0,90.0,All,,,,,True
NCT06370715,18.0,,All,,,,,True
NCT05886088,18.0,75.0,All,,,7.5,,False
NCT06716424,18.0,,All,25.0,,,,False
NCT06981286,60.0,,All,,,,,True
NCT07065032,18.0,65.0,All,,,,,True
NCT00035984,16.0,75.0,All,,,,,True
NCT07242469,18.0,75.0,All,,,,,True
NCT00865592,18.0,85.0,All,,,,,True
NCT00437164,30.0,65.0,All,,,,,False
NCT01007097,18.0,80.0,All,,,,,False
NCT06769477,18.0,,All,,,,,True
NCT07116902,10.0,21.0,All,,,7.0,,True
NCT07160257,18.0,70.0,All,,,,,False
NCT00837577,20.0,,All,,,,,True
NCT06617767,18.0,,All,25.0,,6.5,,True
NCT06064721,35.0,65.0,All,,,,,True
NCT06687811,18.0,,All,,30.0,,,True
NCT06032988,18.0,90.0,All,,,,,False
NCT03552991,50.0,,All,,,7.0,9.0,True
NCT02689362,20.0,75.0,All,,40.0,,10.5,False
NCT00039026,16.0,75.0,All,,,,,True
NCT05158244,18.0,70.0,All,24.5,,7.0,6.5,True
NCT05491252,18.0,,All,,,,7.0,True
NCT06169982,18.0,74.0,All,,,,,True
NCT05860413,21.0,65.0,All,,,,,False
NCT06647888,19.0,,All,,,,,False
NCT01406717,20.0,,All,,,,,False
NCT04622722,18.0,70.0,All,,,,9.0,True
NCT00189774,20.0,,All,,,,,True
NCT00832624,18.0,75.0,All,,,,,True
NCT00256867,18.0,75.0,All,,,,,False
NCT04124484,18.0,75.0,All,,,,10.0,False
NCT06982846,18.0,70.0,All,,,,,True
NCT07121114,18.0,,All,,,,,True
NCT02879409,18.0,65.0,All,,,,,False
NCT06362265,10.0,17.0,All,,,,,True
NCT04088851,18.0,75.0,All,,40.0,,,True
NCT06256523,18.0,65.0,All,,,,,False
NCT06805786,18.0,,All,,,7.5,,False
NCT05138432,,18.0,All,,,,,True
NCT06850129,18.0,,All,,,7.0,,False
NCT06229847,18.0,75.0,All,,,,,True
NCT06513468,18.0,65.0,All,,,,,True
NCT02685345,20.0,,All,,,7.0,,True
NCT02801448,35.0,75.0,All,,,,,True
NCT03181737,18.0,,All,,,6.0,,True
NCT07005986,40.0,70.0,Male,,,9.0,8.0,True
NCT06902077,12.0,18.0,All,85.0,,6.5,8.5,True
NCT07113444,65.0,,All,,,,,True
NCT05885828,35.0,75.0,All,,,,,True
NCT06517602,18.0,,Female,,,,,False
NCT03176056,20.0,80.0,All,,,,,False
NCT06728501,18.0,75.0,All,,,,,False
NCT05596747,18.0,70.0,All,,,,,False
NCT07057518,18.0,,All,,,,,True
NCT06494683,18.0,80.0,All,,,6.5,,False
NCT03781232,18.0,,All,,,,,False
NCT05150041,30.0,65.0,All,,,,,False
NCT02647320,18.0,70.0,All,,,7.0,,False
NCT05477134,12.0,20.0,All,,,7.5,,False
NCT06155539,18.0,75.0,All,,,,,True
NCT05878587,45.0,65.0,All,,,,,True
